"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 18 16:14:20 GMT 2021","Sat Sep 18 16:14:20 GMT 2021","1",""," Verify Login @authentication",""," Verify Login @authentication","with invalid credentials @P3","with invalid credentials @P3",""
"passed","Sat Sep 18 16:55:17 GMT 2021","Sat Sep 18 16:55:17 GMT 2021","0",""," Verify Login @authentication",""," Verify Login @authentication","with valid credentials @sanity @P1 @validLogin","with valid credentials @sanity @P1 @validLogin",""
"passed","Sat Sep 18 16:55:17 GMT 2021","Sat Sep 18 16:55:17 GMT 2021","1",""," Verify file upload functionality @upload",""," Verify file upload functionality @upload","with valid text file @sanity @P1 @textFileUpload","with valid text file @sanity @P1 @textFileUpload",""
"broken","Sat Sep 18 16:13:45 GMT 2021","Sat Sep 18 16:13:45 GMT 2021","0",""," File download v2",""," File download v2","verify a file download by inspecting its head request @downloadHeader","verify a file download by inspecting its head request @downloadHeader",""
"passed","Sat Sep 18 16:14:04 GMT 2021","Sat Sep 18 16:14:04 GMT 2021","1",""," File download",""," File download","should automatically download to local disk @textFileDownload","should automatically download to local disk @textFileDownload",""
"passed","Sat Sep 18 16:14:01 GMT 2021","Sat Sep 18 16:14:01 GMT 2021","1",""," Verify Dynamic Loading @dynamicLoad",""," Verify Dynamic Loading @dynamicLoad","hidden element @P2","hidden element @P2",""
"passed","Sat Sep 18 16:14:20 GMT 2021","Sat Sep 18 16:14:20 GMT 2021","1",""," Verify Login @authentication",""," Verify Login @authentication","capture complete page and element screenshot @P3 @elementScreenshot","capture complete page and element screenshot @P3 @elementScreenshot",""
